====================
 装置情報 BELSORP-mini Ver2.5.7
====================
"装置Ｓ／Ｎ："	00294
"基準容積／ml："	9.026
====================
 測定条件
====================
"吸着質名称："	N2
"吸着温度／Ｋ："	77.00
"吸着断面積／nm2："	0
"吸着分子量："	0.00
"平衡時間／sec："	0
"測定モード："	2
====================
 サンプル情報
====================
"試料重量／g："	0.1350
"コメント１："	"クラレコールGW"
"コメント２："	"konno"
"コメント３："	"251203"
"コメント４："	""
"試料比表面積／m2 g-1："	0.0000
"試料分子量："	0.00
====================
 時間、死容積など
====================
"測定開始日："	25/12/03
"測定時間："	6:25:27
"死容積傾き："	-1.6289E-6
"死容積切片："	1.5127E+1
"死容積平均／ml："	15.032
====================
 吸着データ
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"	
1	4.9328E-3	101.48	15.049	23.901	
2	4.0721E-3	101.41	15.046	45.316	
3	4.8986E-3	101.41	15.042	66.670	
4	3.5121E-3	101.39	15.039	88.016	
5	4.3787E-3	101.43	15.036	109.39	
6	1.4991E-3	101.41	15.032	132.72	
7	1.0964E-2	101.42	15.027	163.88	
8	7.4692E-2	101.42	15.023	202.56	
9	8.3036E-2	101.40	15.021	204.44	
10	2.9443E-1	101.42	15.013	224.38	
11	6.0507E-1	101.37	15.007	236.31	
12	1.8235	101.42	15.005	256.06	
13	2.8764	101.45	15.003	264.61	
14	3.7996	101.48	15.003	269.70	
15	5.0440	101.41	15.004	274.49	
16	8.2266	101.48	15.015	281.53	
17	11.860	101.50	15.028	285.62	
18	14.293	101.48	15.036	287.39	
19	17.062	101.45	15.046	288.92	
20	19.609	101.46	15.054	290.06	
21	22.300	101.51	15.063	291.07	
22	24.691	101.37	15.073	291.86	
23	27.483	101.48	15.083	292.65	
24	37.249	101.42	15.129	294.78	
25	47.893	101.46	15.180	296.40	
26	52.400	101.45	15.200	296.96	
27	57.424	101.50	15.221	297.56	
28	62.661	101.36	15.246	298.12	
29	67.654	101.51	15.268	298.64	
30	72.658	101.48	15.291	299.20	
31	77.679	101.48	15.314	299.81	
32	82.782	101.45	15.338	300.53	
33	87.653	101.53	15.360	301.31	
34	92.996	101.54	15.385	302.19	
35	97.799	101.56	15.407	303.25	
36	99.864	101.52	15.415	304.22	
37	100.79	101.55	15.414	305.52	
38	101.59	101.55	15.407	310.62	
0	0	0	0	0	
====================
 脱着データ
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"	
0	0	0	0	0	
