"班","試料","理論pH","pH前","pH後","濁度","滴定_前","滴定_後","ゼータ電位","水温","滴定試料量","凝集剤添加量"
3,"三四郎","pH3",3.33,3.41,5.414,NA,NA,-9.081,NA,50,NA
3,"三四郎","pH5",5.57,4.96,1.649,NA,NA,-9.213,NA,50,NA
3,"三四郎","pH7",7.66,7.29,0.662,3.51,0.42,-9.921,NA,50,NA
3,"三四郎","pH9",8.88,7.62,4.241,7.08,3.51,-10.44,NA,50,NA
3,"三四郎","pH11",10.47,9.89,1.448,13.15,7.08,-13.93,NA,50,NA
3,"カオリン","pH3",3.88,3.48,3.679,NA,NA,-12.77,19.3,50,NA
3,"カオリン","pH5",4.57,4.55,3.796,NA,NA,-18.82,19.3,50,NA
3,"カオリン","pH7",7.1,7.23,3.241,14.61,13.15,-10.39,19.3,50,NA
3,"カオリン","pH9",8.55,7.73,2.088,16.29,14.61,-17.64,19.3,50,NA
3,"カオリン","pH11",10.67,10.48,3.83,21.42,16.29,-15.34,19.3,50,NA
4,"三四郎","pH3",3.33,3.32,9.978,NA,NA,-11.26,17.1,NA,NA
4,"三四郎","pH5",5.14,4.56,8.163,NA,NA,-6.576,17.1,NA,NA
4,"三四郎","pH7",7.22,5.84,9.479,4.12,2.3,-11.68,17.2,NA,NA
4,"三四郎","pH9",8.92,8.92,4.306,6.18,0.52,-9.827,17.3,NA,NA
4,"三四郎","pH11",10.48,10.48,2.016,16.02,4.12,-14.61,17.4,NA,NA
4,"カオリン","pH3",3.33,3.19,5.598,NA,NA,-13.98,17.9,NA,NA
4,"カオリン","pH5",5.02,4.67,5.12,NA,NA,-19.47,18,NA,NA
4,"カオリン","pH7",6.87,6.49,2.676,3.65,0.51,-17.37,19,NA,NA
4,"カオリン","pH9",9.1,6.88,3.372,19.6,15.91,-15.58,19,NA,NA
4,"カオリン","pH11",10.5,9.97,5.247,15.91,8,-16.75,19.2,NA,NA
1,"三四郎","pH3",NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"三四郎","pH5",NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"三四郎","pH7",NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"三四郎","pH9",NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"三四郎","pH11",NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"カオリン","pH3",NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"カオリン","pH5",NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"カオリン","pH7",NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"カオリン","pH9",NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"カオリン","pH11",NA,NA,NA,NA,NA,NA,NA,NA,NA
