"班","サンプル名","t1","t2","t3","uv_1","uv_2","uv_3","uv_4","uv_5"
1,"BW",80,160,240,NA,NA,NA,NA,NA
1,"phr",50,100,150,NA,NA,NA,NA,NA
1,"uvr",5,10,15,NA,NA,NA,NA,NA
2,"BW",80,160,240,84.8,87.5,92.8,94.8,102.1
2,"phr",40,80,120,84.8,87.5,92.8,94.8,102.1
2,"uvr",5,10,15,84.8,87.5,92.8,94.8,102.1
3,"BW",100,200,300,109.8,109.4,109.5,109.8,107
3,"phr",50,100,200,109.8,109.4,109.5,109.8,107
3,"uvr",5,10,20,109.8,109.4,109.5,109.8,107
4,"BW",100,200,300,64.8,85.4,96.3,102.8,106.5
4,"phr",50,160,320,64.8,85.4,96.3,102.8,106.5
4,"uvr",10,20,30,64.8,85.4,96.3,102.8,106.5
