====================
 装置情報 BELSORP-mini Ver2.5.7
====================
"装置Ｓ／Ｎ："	00294
"基準容積／ml："	9.026
====================
 測定条件
====================
"吸着質名称："	N2
"吸着温度／Ｋ："	77.00
"吸着断面積／nm2："	0
"吸着分子量："	0.00
"平衡時間／sec："	0
"測定モード："	2
====================
 サンプル情報
====================
"試料重量／g："	0.1150
"コメント１："	"クラレコールGLC"
"コメント２："	"konno"
"コメント３："	"251203"
"コメント４："	""
"試料比表面積／m2 g-1："	0.0000
"試料分子量："	0.00
====================
 時間、死容積など
====================
"測定開始日："	25/12/03
"測定時間："	11:12:22
"死容積傾き："	-1.8330E-6
"死容積切片："	1.7004E+1
"死容積平均／ml："	16.884
====================
 吸着データ
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"	
1	-1.3121E-3	101.39	16.902	24.215	
2	-2.3845E-3	101.39	16.899	46.276	
3	-4.0527E-3	101.41	16.896	67.647	
4	-4.8868E-3	101.43	16.892	88.936	
5	-3.8939E-3	101.39	16.888	110.25	
6	-2.9406E-3	101.44	16.885	133.56	
7	-1.6026E-4	101.44	16.880	164.77	
8	1.2629E-2	101.40	16.876	203.90	
9	2.6849E-2	101.38	16.874	226.45	
10	5.8028E-2	101.37	16.865	252.38	
11	1.2162E-1	101.38	16.859	278.65	
12	2.4693E-1	101.38	16.849	303.40	
13	2.7926E-1	101.40	16.843	307.71	
14	5.8053E-1	101.46	16.837	333.21	
15	1.1068	101.45	16.833	357.90	
16	1.6381	101.42	16.830	374.74	
17	2.7300	101.46	16.830	400.46	
18	3.7087	101.43	16.828	418.97	
19	4.8427	101.36	16.829	437.17	
20	6.9598	101.50	16.833	465.80	
21	7.4054	101.43	16.830	471.21	
22	9.8543	101.37	16.836	497.17	
23	12.559	101.49	16.843	520.43	
24	15.069	101.48	16.852	537.78	
25	17.938	101.51	16.862	554.04	
26	21.062	101.54	16.874	568.10	
27	23.942	101.50	16.884	578.70	
28	26.705	101.48	16.894	587.46	
29	29.384	101.57	16.903	594.98	
30	31.969	101.56	16.911	601.70	
31	35.685	101.61	16.926	610.88	
32	43.668	101.59	16.966	629.43	
33	47.423	101.63	16.980	637.63	
34	53.214	101.70	17.007	650.16	
35	57.947	101.71	17.028	660.37	
36	63.197	101.73	17.052	671.89	
37	68.161	101.81	17.075	683.11	
38	73.143	101.81	17.098	694.95	
39	77.993	101.82	17.120	707.64	
40	82.792	101.80	17.141	721.96	
41	87.320	101.90	17.161	738.00	
42	91.717	101.95	17.177	757.68	
43	96.792	101.97	17.188	795.40	
44	99.646	102.06	17.179	851.51	
45	100.81	102.01	17.173	869.34	
46	101.44	102.07	17.163	878.56	
47	102.14	102.20	17.141	893.26	
0	0	0	0	0	
====================
 脱着データ
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"	
0	0	0	0	0	
