"","A","B","C","D","E","F"
"A","1","4.9328E-3","101.48","15.049","23.901",""
"B","2","4.0721E-3","101.41","15.046","45.316",""
"C","3","4.8986E-3","101.41","15.042","66.670",""
"D","4","3.5121E-3","101.39","15.039","88.016",""
"E","5","4.3787E-3","101.43","15.036","109.39",""
"F","6","1.4991E-3","101.41","15.032","132.72",""
"G","7","1.0964E-2","101.42","15.027","163.88",""
"H","8","7.4692E-2","101.42","15.023","202.56",""
"I","9","8.3036E-2","101.40","15.021","204.44",""
"J","10","2.9443E-1","101.42","15.013","224.38",""
"K","11","6.0507E-1","101.37","15.007","236.31",""
"L","12","1.8235","101.42","15.005","256.06",""
"M","13","2.8764","101.45","15.003","264.61",""
"N","14","3.7996","101.48","15.003","269.70",""
"O","15","5.0440","101.41","15.004","274.49",""
"P","16","8.2266","101.48","15.015","281.53",""
"Q","17","11.860","101.50","15.028","285.62",""
"R","18","14.293","101.48","15.036","287.39",""
"S","19","17.062","101.45","15.046","288.92",""
"T","20","19.609","101.46","15.054","290.06",""
"U","21","22.300","101.51","15.063","291.07",""
"V","22","24.691","101.37","15.073","291.86",""
"W","23","27.483","101.48","15.083","292.65",""
"X","24","37.249","101.42","15.129","294.78",""
"Y","25","47.893","101.46","15.180","296.40",""
"Z","26","52.400","101.45","15.200","296.96",""
"A1","27","57.424","101.50","15.221","297.56",""
"B1","28","62.661","101.36","15.246","298.12",""
"C1","29","67.654","101.51","15.268","298.64",""
"D1","30","72.658","101.48","15.291","299.20",""
"E1","31","77.679","101.48","15.314","299.81",""
"F1","32","82.782","101.45","15.338","300.53",""
"G1","33","87.653","101.53","15.360","301.31",""
"H1","34","92.996","101.54","15.385","302.19",""
"I1","35","97.799","101.56","15.407","303.25",""
"J1","36","99.864","101.52","15.415","304.22",""
"K1","37","100.79","101.55","15.414","305.52",""
"L1","38","101.59","101.55","15.407","310.62",""
